"","Z50_2","Z50_3","Z50_4","Z50_5","Z50_6","Z50_7","Z50_8","Z50_9","Z50_10","Z50_11","Z400_2","Z400_3","Z400_4","Z400_5","Z400_6","Z400_7","Z400_8","Z400_9","Z400_10","Z400_11"
"Otu2",3864,521,604,1933,167,585,9134,991,748,363,2024,1536,1872,4667,7335,1366,4312,1980,4190,2655
"Otu39",1055,449,124,738,89,207,728,271,334,284,287,159,519,471,535,130,394,250,308,343
"Otu1",19290,4908,6002,29509,2974,9828,4205,6394,6772,12737,2656,1738,5296,3012,1918,1055,2348,2693,2848,2181
"Otu41",965,360,113,957,122,286,597,462,290,445,44,45,116,74,61,56,76,79,67,80
"Otu3",11194,1024,1396,9999,439,722,2918,897,1212,1163,1435,2062,2542,2388,4687,1186,1656,1302,1313,1807
"Otu11",3555,1296,610,3336,436,690,1901,2050,1315,776,323,272,281,460,358,227,446,363,542,437
"Otu27",1447,931,238,1630,191,378,247,419,344,574,240,206,175,170,127,212,125,415,418,255
"Otu1105",27,8,3,11,1,2,19,2,5,3,1,1,3,0,3,0,0,0,0,0
"Otu3140",42,0,6,39,0,15,5,1,7,26,8,4,24,10,7,2,7,16,3,5
"Otu4",5113,3446,1406,9907,1922,3415,5158,5616,3166,5827,457,378,504,256,274,370,230,735,493,369
"Otu95",615,450,45,385,47,83,132,217,118,160,68,26,40,55,38,40,40,81,126,80
"Otu209",72,0,5,15,0,1,12,0,2,0,74,101,62,167,163,53,61,54,178,134
"Otu10",4472,2574,1125,3794,440,939,1029,2448,773,1304,228,137,119,234,137,151,166,342,506,262
"Otu287",132,30,18,106,10,21,63,47,38,30,25,16,69,38,54,11,31,17,21,14
"Otu190",182,75,33,106,15,35,12,29,25,63,144,72,45,60,41,82,38,105,140,194
"Otu205",131,83,16,61,6,11,61,29,4,28,123,38,87,76,67,25,55,43,148,94
"Otu177",77,78,19,76,20,12,3,32,42,32,185,114,189,157,55,65,54,113,168,101
"Otu1796",9,11,0,7,0,3,1,2,0,3,0,2,1,1,0,0,0,0,0,0
"Otu156",273,123,40,338,46,89,334,147,112,144,3,1,24,22,16,9,16,19,23,14
"Otu436",88,8,33,35,6,5,7,12,6,18,29,25,18,28,11,26,24,24,30,33
"Otu44",1044,707,83,722,79,234,147,345,225,272,271,99,118,92,116,77,114,141,230,210
"Otu716",42,29,7,38,9,9,4,18,6,8,1,1,5,0,0,0,0,0,1,2
"Otu59",742,161,106,593,97,134,1005,296,238,162,6,17,32,47,51,22,47,35,42,38
"Otu181",345,152,24,231,38,52,135,85,82,94,14,30,47,31,45,10,11,24,8,15
"Otu50",1117,436,59,640,92,128,412,310,307,218,71,81,183,127,150,67,64,55,49,70
"Otu213",149,66,42,116,29,33,30,110,54,47,16,14,37,34,14,36,12,49,49,40
"Otu199",201,107,22,165,39,62,192,101,92,94,42,28,20,20,49,21,35,57,65,39
"Otu78",481,182,33,259,44,46,82,107,124,107,324,178,276,161,170,70,118,123,102,168
"Otu166",210,48,151,288,59,32,7,23,25,64,46,68,20,36,13,36,11,26,6,8
"Otu16",2484,828,390,1922,285,548,918,1522,357,530,156,68,102,170,124,151,110,179,604,321
"Otu35",2647,637,104,893,93,229,939,326,334,313,24,12,36,23,47,10,29,26,20,9
"Otu314",188,60,11,92,13,16,39,44,27,36,10,6,22,7,6,4,6,8,16,6
