"","kingdom","phylum","class","order","family","genus","species"
"Otu2","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","","",""
"Otu39","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter",""
"Otu1","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","s__sublineage I"
"Otu41","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","CYCU-0281",""
"Otu3","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",""
"Otu11","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","uncultured",""
"Otu27","Bacteria","Acidobacteria","Holophagae","Subgroup 10","ABS-19","p7o14",""
"Otu1105","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","uncultured",""
"Otu3140","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"Otu4","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",""
"Otu95","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Skagen138",""
"Otu209","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",""
"Otu10","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","mb2424","SBRFL126",""
"Otu287","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured",""
"Otu190","Bacteria","Chloroflexi","TK10","","","",""
"Otu205","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured","",""
"Otu177","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","",""
"Otu1796","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",""
